population_size,iteration_number,run_number,pcrossover,pmutation,control_optimization_horizon,control_implementation_horizon,control_optimization_anticipation,control_type,optimization_aim,flexibility_event_length_max,flexibility_recover_timespan,thermal_stabilization_timespan,minimum_flexibility,flexibility_splits,Alpha_confort,month_subset
90,80,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
95,80,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
100,80,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
5,85,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
10,85,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
15,85,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
20,85,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
25,85,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
30,85,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
35,85,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
40,85,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
45,85,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
50,85,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
55,85,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
60,85,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
65,85,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
70,85,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
75,85,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
80,85,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
85,85,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
90,85,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
95,85,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
100,85,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
5,90,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
10,90,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
15,90,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
20,90,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
25,90,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
30,90,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
35,90,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
40,90,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
45,90,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
50,90,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
55,90,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
60,90,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
65,90,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
70,90,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
75,90,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
80,90,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
85,90,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
90,90,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
95,90,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
100,90,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
5,95,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
10,95,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
15,95,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
20,95,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
25,95,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
30,95,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
35,95,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
40,95,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
45,95,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
50,95,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
