"population_size","iteration_number","run_number","optimization_horizon","optimization_frequency","elec_heating","cost_heating","building_comfort","reward","process_time"
30,50,2,18,6,17884.2838272167,843.740518107913,22256,-5463.74051810791,3023.41244244576
30,50,2,24,12,18129.7555393555,841.430581077395,25110,-4242.4305810774,3682.48297166824
30,50,2,24,18,18767.7663757453,876.280884548174,25332,-4419.28088454817,3988.9249162674
30,50,2,24,24,19292.996159477,894.834758830984,25674,-4497.83475883098,4472.2630417347
30,50,2,24,6,17791.8502859904,838.623912499847,22171,-5463.62391249985,3220.3809273243
30,50,2,6,6,17800.2560713373,839.86301986571,22268,-5431.86301986571,3557.09361553192
30,50,5,12,12,15888.7191964697,734.003374178245,25216,-3897.00337417824,14055.6770045757
30,50,5,12,6,16541.5269546615,782.457606652536,22136,-5503.45760665254,9394.09215354919
30,50,5,18,12,15829.9981866487,731.239867996168,25349,-3925.23986799617,13413.767434597
30,50,5,18,18,16647.3759516649,776.034414156014,25595,-4109.03441415601,15609.9624297619
30,50,5,18,6,16535.1663244645,782.491731432957,22227,-5466.49173143296,9924.25757789612
30,50,5,24,12,15849.9787316655,730.106237890893,25279,-3952.10623789089,14044.7698130608
30,50,5,24,18,16636.5934126152,776.082692217148,25471,-4130.08269221715,15443.2923734188
30,50,5,24,24,16850.9129783634,781.531162247852,26157,-3912.53116224785,16903.8628773689
30,50,5,24,6,16544.0364206841,785.036577821707,22188,-5450.03657782171,9406.84118533134
30,50,5,6,6,16522.7886319429,783.775300951615,22105,-5512.77530095161,10291.0300803185
40,10,1,12,12,20035.0020414426,928.879048298647,24877,-4584.87904829865,1829.71764397621
40,10,1,12,6,19314.1942912693,907.918337012665,22095,-5638.91833701266,1885.64938235283
40,10,1,18,12,19956.9020642846,921.396199670503,24992,-4554.3961996705,1856.66125750542
40,10,1,18,18,20638.2194682092,959.242437551292,24770,-4918.24243755129,1943.53344988823
40,10,1,18,6,19293.3184555087,907.898225121959,22120,-5553.89822512196,2157.35653400421
40,10,1,24,12,20024.6783787445,925.7259483678,24960,-4570.7259483678,2019.51504206657
40,10,1,24,18,20673.4222346166,960.353204347384,24958,-5020.35320434738,1780.11803507805
40,10,1,24,24,20940.4239675349,967.97966409414,25404,-5087.97966409414,1753.72367405891
40,10,1,24,6,19293.0830030461,908.296024936232,22049,-5606.29602493623,2097.15951752663
40,10,1,6,6,19171.57925536,901.341269229589,22027,-5665.34126922959,2023.04194426537
40,10,10,12,12,15712.9216113435,724.597369483889,25462,-3896.59736948389,16444.5035707951
40,10,10,12,6,16392.5738057101,777.852714752211,22191,-5469.85271475221,14632.8232243061
40,10,10,18,12,15792.2455481742,728.433531295469,25368,-3927.43353129547,15451.6091852188
40,10,10,18,18,16633.6792481486,777.930412698641,25695,-4115.93041269864,16209.8356628418
40,10,10,18,6,16418.879005691,778.487175501989,22231,-5436.48717550199,17019.868601799
40,10,10,24,12,15703.1851518521,728.220228481683,25281,-3868.22022848168,48907.7926137447
40,10,10,24,18,16669.1436304487,777.960606628631,25718,-4112.96060662863,16376.1774785519
40,10,10,24,24,16877.3588214755,784.562815739043,26189,-3877.56281573904,15263.1856272221
40,10,10,24,6,16511.4847771497,782.361398202941,22270,-5448.36139820294,15120.5891828537
40,10,10,6,6,16389.7290581015,776.929428188626,22258,-5439.92942818863,16068.1241641045
40,10,2,12,12,17909.7658717668,831.02834163295,25095,-4144.02834163295,5161.78063678741
40,10,2,12,6,17572.7982667361,828.6720101503,22144,-5512.6720101503,4598.60783982277
40,10,2,18,12,17901.7781389234,828.773325163197,25249,-4137.7733251632,4953.10274744034
40,10,2,18,18,18684.9986917008,867.147125227504,25457,-4349.1471252275,8655.45610928535
40,10,2,18,6,17721.5122371789,836.897940012589,22014,-5553.89794001259,4475.41697120667
40,10,2,24,12,18015.5566298013,831.919702976721,25259,-4113.91970297672,4895.16059780121
40,10,2,24,18,18797.4905231874,873.270864146051,25159,-4432.27086414605,5441.4125828743
40,10,2,24,24,19026.2741187154,884.093042317215,25926,-4301.09304231721,5621.34085869789
40,10,2,24,6,17498.5610746059,825.417499402962,22080,-5557.41749940296,4211.81825184822
40,10,2,6,6,17778.137448506,839.554785137192,22137,-5489.55478513719,4293.12499928474
40,10,5,12,12,15838.8997633506,730.971982678293,25397,-3908.97198267829,13657.9140107632
40,10,5,12,6,16499.3753782457,781.715230579196,22185,-5530.7152305792,11221.002753973
40,10,5,18,12,15863.6907588736,732.443888248198,25494,-3897.4438882482,12192.1284685135
40,10,5,18,18,16758.9629179502,782.657032206643,25590,-4140.65703220664,12629.6190021038
40,10,5,18,6,16548.3348325065,784.84924666874,22190,-5469.84924666874,10336.5209834576
40,10,5,24,12,15854.6116487086,732.087400449914,25252,-3936.08740044991,13691.9947650433
40,10,5,24,18,16799.6228696667,784.420901479618,25703,-4123.42090147962,12391.6891403198
