"","HourUTC","Ti","Te","Qh","set_point_low","set_point_high","air_temperature","SpotPriceEUR","GHI","act_vent","building_occupied","mean_temp_24h","elec_heating","cost_heating","building_comfort","reward","act_heat"
"2173",2019-01-16 02:00:00,17.0963870655597,16.5988560998781,0,13.226301559143,15.226301559143,4.92,0.049060001,0,0,0,4.366125,0,0,0,0,0
"2174",2019-01-16 02:10:00,16.9879697892244,16.492730218703,0,13.063662063274,15.063662063274,4.91,0.049060001,0,0,0,4.366125,0,0,0,0,0
"2175",2019-01-16 02:20:00,16.8801072686617,16.3875778334396,0,13.063662063274,15.063662063274,4.9,0.049060001,0,0,0,4.366125,0,0,0,0,0
"2176",2019-01-16 02:30:00,16.7728765805208,16.2833643516059,0,13.063662063274,15.063662063274,4.89,0.049060001,0,0,0,4.366125,0,0,0,0,0
"2177",2019-01-16 02:40:00,16.6663339517889,16.180061826785,0,13.063662063274,15.063662063274,4.88,0.049060001,0,0,0,4.366125,0,0,0,0,0
"2178",2019-01-16 02:50:00,16.5605198959514,16.0776473436473,0,13.063662063274,15.063662063274,4.87,0.049060001,0,0,0,4.366125,0,0,0,0,0
"2179",2019-01-16 03:00:00,16.4554630880278,15.976101799312,0,13.063662063274,15.063662063274,4.86,0.049119999,0,0,0,4.46070833333333,0,0,0,0,0
"2180",2019-01-16 03:10:00,17.8511902789684,15.875470111054,9,17.0458873561436,19.0458873561436,4.85533333333333,0.049119999,0,0,0,4.46070833333333,1.92857142857143,0.0947314266428571,0,-0.0947314266428571,1
"2181",2019-01-16 03:20:00,18.9670515870549,15.8596823688022,9,17.0458873561436,19.0458873561436,4.85066666666667,0.049119999,0,0,0,4.46070833333333,1.92857142857143,0.0947314266428571,0,-0.0947314266428571,1
"2182",2019-01-16 03:30:00,18.8711785967294,15.9073550784852,3,17.0458873561436,19.0458873561436,4.846,0.049119999,0,0,0,4.46070833333333,0.166666666666667,0.0081866665,0,-0.0081866665,1
"2183",2019-01-16 03:40:00,18.8020966003835,15.9463943403584,3,17.0458873561436,19.0458873561436,4.84133333333333,0.049119999,0,0,0,4.46070833333333,0.166666666666667,0.0081866665,0,-0.0081866665,1
"2184",2019-01-16 03:50:00,18.7531884588238,15.9788816422792,3,17.0458873561436,19.0458873561436,4.83666666666667,0.049119999,0,0,0,4.46070833333333,0.166666666666667,0.0081866665,0,-0.0081866665,1
"2185",2019-01-16 04:00:00,18.7194619508644,16.0063877948162,3,17.0458873561436,19.0458873561436,4.832,0.051060001,0,0,0,4.56091666666667,0.166666666666667,0.00851000016666667,0,-0.00851000016666667,1
"2186",2019-01-16 04:10:00,19.6971940961134,16.0304765286035,9,18.565240340457,20.565240340457,4.86033333333333,0.051060001,0,0,0,4.56091666666667,1.92857142857143,0.0984728590714286,0,-0.0984728590714286,1
"2187",2019-01-16 04:20:00,20.2325830003687,16.1079847755712,7.41655493212332,18.565240340457,20.565240340457,4.88866666666667,0.051060001,0,0,0,4.56091666666667,0.906067460747925,0.0462638054518565,0,-0.0462638054518565,1
"2188",2019-01-16 04:30:00,19.9461384717031,16.2105548027941,3,18.565240340457,20.565240340457,4.917,0.051060001,0,0,0,4.56091666666667,0.166666666666667,0.00851000016666667,0,-0.00851000016666667,1
"2189",2019-01-16 04:40:00,19.9705909556536,16.2905026901744,4.42922242504643,18.565240340457,20.565240340457,4.94533333333333,0.051060001,0,0,0,4.56091666666667,0.29878827001435,0.015256129365721,0,-0.015256129365721,1
"2190",2019-01-16 04:50:00,19.956454856226,16.3667531915067,4.13579261763999,18.565240340457,20.565240340457,4.97366666666667,0.051060001,0,0,0,4.56091666666667,0.267238836490149,0.0136452152584259,0,-0.0136452152584259,1
"2191",2019-01-16 05:00:00,19.9874408642679,16.437395990334,4.30542581077195,18.565240340457,20.565240340457,5.002,0.05282,0,0,0,4.70404166666667,0.28514540586207,0.0150613803376345,0,-0.0150613803376345,1
"2192",2019-01-16 05:10:00,20.8083918960772,16.5068301725011,9,21.1505265630268,23.1505265630268,5.16083333333333,0.05282,0,0,0,4.70404166666667,1.92857142857143,0.101867142857143,0,-0.101867142857143,1
"2193",2019-01-16 05:20:00,21.4888397943328,16.6193477980259,9,21.1505265630268,23.1505265630268,5.31966666666667,0.05282,0,0,0,4.70404166666667,1.92857142857143,0.101867142857143,0,-0.101867142857143,1
"2194",2019-01-16 05:30:00,22.0630799471295,16.764180608253,9,21.1505265630268,23.1505265630268,5.4785,0.05282,0,0,0,4.70404166666667,1.92857142857143,0.101867142857143,1,-0.101867142857143,1
"2195",2019-01-16 05:40:00,22.5569897587184,16.9332057604784,9,21.1505265630268,23.1505265630268,5.63733333333333,0.05282,0,0,0,4.70404166666667,1.92857142857143,0.101867142857143,1,-0.101867142857143,1
