"","time","external_temperature","solar_radiation","electricity_cost","building_occupied","mean_temp_24h","Ti","Te","act_vent","set_point_heating_low","set_point_heating_high","set_point_cooling_low","set_point_cooling_high","act_heat","act_cool","Qh","Qc","elec_heating","elec_cooling","elec_total","elec_cost","building_comfort","reward","external_temperature_forecast","solar_radiation_forecast","Ti_forecast","Te_forecast","Qh_forecast","Qc_forecast","elec_total_forecast"
"82",2019-01-01 06:45:00,6.44875,1.68975,-0.01507,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",2019-01-01 06:50:00,6.44083333333333,1.8775,-0.01507,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",2019-01-01 06:55:00,6.43291666666667,2.06525,-0.01507,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",2019-01-01 07:00:00,6.425,2.253,-0.00493,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",2019-01-01 07:05:00,6.41316666666667,5.21858333333333,-0.00493,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",2019-01-01 07:10:00,6.40133333333333,8.18416666666667,-0.00493,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",2019-01-01 07:15:00,6.3895,11.14975,-0.00493,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",2019-01-01 07:20:00,6.37766666666667,14.1153333333333,-0.00493,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",2019-01-01 07:25:00,6.36583333333333,17.0809166666667,-0.00493,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",2019-01-01 07:30:00,6.354,20.0465,-0.00493,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",2019-01-01 07:35:00,6.34216666666667,23.0120833333333,-0.00493,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",2019-01-01 07:40:00,6.33033333333333,25.9776666666667,-0.00493,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",2019-01-01 07:45:00,6.3185,28.94325,-0.00493,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95",2019-01-01 07:50:00,6.30666666666667,31.9088333333333,-0.00493,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",2019-01-01 07:55:00,6.29483333333333,34.8744166666667,-0.00493,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",2019-01-01 08:00:00,6.283,37.84,-0.00633,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
