"population_size","iteration_number","run_number","optimization_horizon","optimization_frequency","elec_heating","cost_heating","building_comfort","reward","process_time"
23,10,1,15,6,4149.99603580853,239.166252892294,2068,-512.166252892294,6483.77219891548
23,10,1,18,12,4177.12764318364,240.95153171819,1992,-525.95153171819,3512.80841422081
23,10,1,18,18,4183.23718565621,241.93607426962,1993,-557.93607426962,2283.27219796181
23,10,1,18,6,4186.12979872384,241.17555713253,1900,-642.17555713253,6477.92747473717
23,10,1,24,12,4174.39749493862,242.69111009306,1962,-547.69111009306,3069.21377182007
23,10,1,24,18,4162.50745996453,241.222053670139,1903,-590.222053670139,2208.83339643478
23,10,1,24,24,4212.97396355176,243.720740430586,1913,-605.720740430586,1686.19350910187
23,10,1,24,6,4167.55046327943,242.41326891596,1912,-577.41326891596,5856.71090722084
23,10,10,12,12,3921.73619586416,228.291424423455,2365,-270.291424423455,24525.1891880035
23,10,10,12,6,3892.07570965882,226.865191498007,2321,-287.865191498007,52570.4996469021
23,10,10,15,12,3920.99828248734,228.300979754564,2334,-321.300979754564,24845.667624712
23,10,10,15,6,3946.51083798819,228.597215132292,2369,-290.597215132292,48652.0646567345
23,10,10,18,12,3945.07280563691,229.539425036579,2339,-279.539425036579,25666.2031488419
23,10,10,18,18,3961.81834406612,228.802233589199,2336,-317.802233589199,16603.8248796463
23,10,10,18,6,3909.9406109028,228.161460258383,2327,-288.161460258383,48461.250521183
23,10,10,24,12,3936.50195007732,229.799285661448,2364,-287.799285661448,25003.3240954876
23,10,10,24,18,3898.81197490026,226.416819606554,2365,-302.416819606554,16675.7187607288
23,10,10,24,24,3897.68728063385,227.396668447612,2349,-290.396668447612,12980.1601953506
23,10,10,24,6,3988.76388514373,230.515666127735,2360,-288.515666127735,49537.2689874172
23,10,3,12,12,3973.7752055194,230.819291888527,2383,-303.819291888527,21816.9025285244
23,10,3,12,6,3982.08631527297,231.439106903902,2259,-334.439106903902,40378.2744531631
23,10,3,15,12,3960.09344480748,229.696197288601,2293,-332.696197288601,21571.2618055344
23,10,3,15,6,3958.98583714861,230.035582541504,2300,-339.035582541504,40475.0728876591
23,10,3,18,12,3999.54508202745,233.702334590067,2273,-343.702334590067,19393.2623126507
23,10,3,18,18,3943.95952378366,229.621553799054,2339,-301.621553799054,12477.7277786732
23,10,3,18,6,3957.63299939744,229.862222535585,2322,-281.862222535585,41344.3246836662
23,10,3,24,12,3926.14945862859,228.551605676607,2321,-351.551605676607,20841.1710109711
23,10,3,24,18,3940.92678312324,229.285862645105,2278,-345.285862645105,13290.7279582024
23,10,3,24,24,3944.49359983995,229.719185793298,2338,-322.719185793298,11297.7620618343
23,10,3,24,6,3961.47204346572,230.002855867784,2277,-331.002855867784,40237.5248908997
23,10,5,12,12,3877.60598837087,226.83958647838,2332,-300.83958647838,23661.447729826
23,10,5,12,6,3953.94306625567,229.203692646989,2404,-280.203692646989,48649.1942822933
23,10,5,15,12,3933.19949376959,229.803037059688,2307,-310.803037059688,25362.6484274864
23,10,5,15,6,3937.53672911934,228.849700037531,2335,-327.849700037531,47699.1441411972
23,10,5,18,12,3983.7518047394,231.74617848761,2374,-301.74617848761,24476.5240073204
23,10,5,18,18,3902.38024888101,227.047549046297,2395,-267.047549046297,16843.7323446274
23,10,5,18,6,3976.63100079763,230.563680925576,2343,-294.563680925576,54191.0893599987
23,10,5,24,12,3919.17766963996,227.691006277258,2400,-267.691006277259,25391.6569230556
23,10,5,24,18,3898.26189377099,226.340272940571,2373,-286.340272940571,17665.0908586979
23,10,5,24,24,3939.0030516688,228.620612149848,2356,-309.620612149848,13564.9012033939
23,10,5,24,6,3923.45824792019,228.110418342586,2348,-297.110418342586,50656.7458753586
23,10,8,12,12,3897.08580124412,226.503519080258,2323,-295.503519080258,26322.6573996544
23,10,8,12,6,3905.75010362659,226.550830146531,2346,-283.550830146531,52337.5807650089
23,10,8,15,12,3911.2884545396,226.182687754402,2372,-275.182687754402,26693.7742190361
23,10,8,15,6,3946.33226602565,228.876810588475,2330,-299.876810588475,52528.3409793377
23,10,8,18,12,3920.16176673964,227.631124036363,2355,-280.631124036363,24561.6122329235
23,10,8,18,18,3921.29683702091,228.616082840623,2327,-314.616082840623,16310.3084995747
