"","time","external_temperature","solar_radiation","electricity_cost","building_occupied","mean_temp_24h","Ti","Te","act_vent","set_point_heating_low","set_point_heating_high","set_point_cooling_low","set_point_cooling_high","act_heat","act_cool","Qh","Qc","elec_heating","elec_cooling","elec_total","elec_cost","building_comfort","reward","external_temperature_forecast","solar_radiation_forecast","Ti_forecast","Te_forecast","Qh_forecast","Qc_forecast","elec_total_forecast","MarketUTC"
"1246",2019-01-05 07:45:00,4.711,34.21525,0.049990002,0,5.18316666666667,15.8862360883422,15.3305358152929,0,14.224733385186,15.224733385186,41.4037909130291,42.4037909130291,0,0,0,0,0,0,0,0,0,0,4.711,34.21525,15.8862360883422,15.3305358152929,0,0,0,2019-01-05 07:45:00
"1247",2019-01-05 07:50:00,4.69133333333333,37.6101666666667,0.049990002,0,5.18316666666667,15.839888279158,15.2887692355461,0,14.224733385186,15.224733385186,41.4037909130291,42.4037909130291,0,0,0,0,0,0,0,0,0,0,4.69133333333333,37.6101666666667,15.839888279158,15.2887692355461,0,0,0,2019-01-05 07:45:00
"1248",2019-01-05 07:55:00,4.67166666666667,41.0050833333333,0.049990002,0,5.18316666666667,15.7951222748631,15.247330885984,0,14.224733385186,15.224733385186,41.4037909130291,42.4037909130291,0,0,0,0,0,0,0,0,0,0,4.67166666666667,41.0050833333333,15.7951222748631,15.247330885984,0,0,0,2019-01-05 07:45:00
"1249",2019-01-05 08:00:00,4.652,44.4,0.05073,0,5.19533333333333,16.3631184421973,15.2062539639155,1,18.5942640138702,19.5942640138702,37.3730291632898,38.3730291632898,1,0,9,0,0.632885562143136,0,0.632885562143136,0.0321062845675213,0,-0.0321062845675213,4.652,44.4,16.3631184421973,15.2062539639155,9,0,0.632885562143136,2019-01-05 08:00:00
"1250",2019-01-05 08:05:00,4.65533333333333,44.91,0.05073,0,5.19533333333333,16.8673027793309,15.1825245387259,1,18.5942640138702,19.5942640138702,37.3730291632898,38.3730291632898,1,0,9,0,0.632874614730055,0,0.632874614730055,0.0321057292052557,0,-0.0321057292052557,4.65533333333333,44.91,16.8673027793309,15.1825245387259,9,0,0.632874614730055,2019-01-05 08:00:00
"1251",2019-01-05 08:10:00,4.65866666666667,45.42,0.05073,0,5.19533333333333,17.3160512806093,15.173772147533,1,18.5942640138702,19.5942640138702,37.3730291632898,38.3730291632898,1,0,9,0,0.63286366912057,0,0.63286366912057,0.0321051739344865,0,-0.0321051739344865,4.65866666666667,45.42,17.3160512806093,15.173772147533,9,0,0.63286366912057,2019-01-05 08:00:00
"1252",2019-01-05 08:15:00,4.662,45.93,0.05073,0,5.19533333333333,17.4349176773832,15.1779406257579,1,17.0343371362053,18.0343371362053,30.8904161175402,31.8904161175402,1,0,5.61943026715214,0,0.351138580910248,0,0.351138580910248,0.0178132602095769,0,-0.0178132602095769,4.662,45.93,17.4349176773832,15.1779406257579,5.61943026715214,0,0.351138580910248,2019-01-05 08:15:00
"1253",2019-01-05 08:20:00,4.66533333333333,46.44,0.05073,0,5.19533333333333,17.4229192452499,15.1853634058712,1,17.0343371362053,18.0343371362053,30.8904161175402,31.8904161175402,1,0,4.19303350586534,0,0.232261242132721,0,0.232261242132721,0.0117826128133929,0,-0.0117826128133929,4.66533333333333,46.44,17.4229192452499,15.1853634058712,4.19303350586534,0,0.232261242132721,2019-01-05 08:15:00
"1254",2019-01-05 08:25:00,4.66866666666667,46.95,0.05073,0,5.19533333333333,17.4250954703042,15.1922688350972,1,17.0343371362053,18.0343371362053,30.8904161175402,31.8904161175402,1,0,4.33701469146447,0,0.244248734064613,0,0.244248734064613,0.0123907382790978,0,-0.0123907382790978,4.66866666666667,46.95,17.4250954703042,15.1922688350972,4.33701469146447,0,0.244248734064613,2019-01-05 08:15:00
"1255",2019-01-05 08:30:00,4.672,47.46,0.05073,0,5.19533333333333,17.4239611655229,15.1990709989501,1,17.0325772538642,18.0325772538642,34.1270534711764,35.1270534711764,1,0,4.2897814027198,0,0.240301688269671,0,0.240301688269671,0.0121905046459204,0,-0.0121905046459204,4.672,47.46,17.4239611655229,15.1990709989501,4.2897814027198,0,0.240301688269671,2019-01-05 08:30:00
